group|detection_smarts|smarts|contribute|composed|molecular_weight|group_number
aC-C≡CH|[c][CH0;!R]#[CH]||"{""aC-C≡CH"": 1, ""CH≡C"": -1, ""aC except as above"": -1}"|y|37.0408|27
aC-C≡C|[c][CH0;!R]#[CH0;!R]||"{""aC-C≡C"": 1, ""C≡C"": -1, ""aC except as above"": -1}"|y|36.033|28
OH|[OH]||"{""OH"": 1}"|n|17.007|29
aC-OH|[cH0][OH]||"{""aC-OH"": 1, ""OH"": -1, ""aC except as above"": -1}"|y|29.018|30
COOH|[CH0](*)(=O)(-[OH])|[CH0](=O)(-[OH])|"{""COOH"": 1, "">CO"": -1, ""OH"": -1}"|y|45.017|31
aC-COOH|[cH0][CH0](*)(=O)(-[OH])|[ch0][CH0](=O)(-[OH])|"{""aC-COOH"": 1, ""COOH"": -1, ""aC except as above"": -1}"|y|57.028|32
CH3CO|[CH3]C(=O)[$([#6,Si])]|[CH3]C(=O)|"{""CH3CO"": 1, ""CH3"" : -1, "">CO"": -1}"|y|43.045|33
CH2CO|[CH2]C(=O)[$([#6,Si])]|[CH2;!R]C(=O)|"{""CH2CO"": 1, ""CH2"": -1, "">CO"": -1}"|y|42.037|34
CHCO|[CH]C(=O)[$([#6,Si])]|[CH;!R]C(=O)|"{""CHCO"": 1, ""CH"": -1, "">CO"": -1}"|y|41.028841|35
CCO|[CH0]C(=O)[$([#6,Si])]|[CH0]C(=O)|"{""CCO"": 1, ""C"": -1, "">CO"": -1}"|y|40.021|36
aC-CO|[cH0]C(=O)[$([#6,Si])]|[cH0]C(=O)|"{""aC-CO"": 1, ""aC except as above"": -1, "">CO"": -1}"|y|40.021|37
CHO|[CH](=O)([#6,Si])|[CH](=O)|"{""CHO"": 1}"|n|29.018|38
aC-CHO|[cH0][CH](=O)||"{""aC-CHO"": 1, ""CHO"": -1, ""aC except as above"": -1}"|y|41.029|39
CH3COO|[CH3;!R][C](=O)[OH0]||"{""CH3COO"": 1, ""CH3"": -1, ""COO except as above"": -1}"|y|59.044|40
CH2COO|[CH2;!R][C](=O)[OH0]||"{""CH2COO"": 1, ""CH2"": -1, ""COO except as above"": -1}"|y|58.036|41
CHCOO|[CH;!R][C](=O)[OH0]||"{""CHCOO"": 1, ""CH"": -1, ""COO except as above"": -1}"|y|57.0282|42
CCOO|[CH0;!R][C](=O)[OH0]||"{""CCOO"": 1, ""C"": -1, ""COO except as above"": -1}"|y|56.0204|43
HCOO|[CH](=O)[OH0]||"{""HCOO"": 1, ""-O-"": -1}"|n|45.017|44
aC-COO|[cH0][C](=O)[OH0]||"{""aC-COO"": 1, ""aC except as above"": -1, ""COO except as above"": -1}"|y|56.0204|45
aC-OOCH|[CH](=O)[OH0][cH0]||"{""aC-OOCH"": 1, ""HCOO"": -1, ""aC except as above"": -1}"|y|57.028|46
aC-OOC|[CH0](=O)[OH0][cH0]||"{""aC-OOC"": 1, ""COO except as above"": -1, ""aC except as above"": -1}"|y|56.0202|47
COO except as above|[CH0](*)(=O)[OH0][#6,Si]|[C](=O)[OH0]|"{""COO except as above"": 1, "">CO"": -1, ""-O-"": -1}"|y|44.009|48
CH3O|[CH3]O[$([Si,#6])]|[CH3][OH0]|"{""CH3O"": 1, ""CH3"": -1, ""-O-"": -1}"|y|31.034|49
CH2O|[CH2;!R]O[$([Si,#6])]|[CH2][OH0]|"{""CH2O"": 1, ""CH2"": -1, ""-O-"": -1}"|y|30.026|50
CH-O|[CH;!R]O[$([Si,#6])]|[CH][OH0]|"{""CH-O"": 1, ""CH"": -1, ""-O-"": -1}"|y|29.018|51
C-O|[CH0;!R]O[$([Si,#6])]|[CH0][OH0]|"{""C-O"": 1, ""C"": -1, ""-O-"": -1}"|y|28.0102|52
aC-O|[cH0]O[$([Si,#6])]|[cH0][OH0]|"{""aC-O"": 1, ""aC except as above"": -1, ""-O-"": -1}"|y|28.0102|53
CH2NH2|[CX4H2;!R][NH2]||"{""CH2NH2"": 1, ""CH2"": -1, ""NH2 except as above"": -1}"|y|30.05|54
CHNH2|[CX4H;!R][NH2]||"{""CHNH2"": 1, ""CH"": -1, ""NH2 except as above"": -1}"|y|29.042|55
CNH2|[CX4H0;!R][NH2]||"{""CNH2"": 1, ""C"": -1, ""NH2 except as above"": -1}"|y|28.0342|56
